Propinsi,Kabupaten,Kode,Nama Kabupaten,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
35,10,3510,Banyuwangi,13.910,0.139,0.115,10.424,6.240,1.023,0.581,1.558,90.323,99.539
35,11,3511,Bondowoso,22.230,0.166,0.000,9.542,4.100,0.781,0.521,0.493,67.580,99.087
35,12,3512,Situbondo,18.020,0.134,0.007,7.656,5.243,0.640,0.838,0.801,94.853,97.794
35,13,3513,Probolinggo,30.130,0.137,0.000,11.464,4.358,1.333,0.067,1.212,76.667,97.576
35,14,3514,Pasuruan,18.040,0.080,0.011,3.012,4.096,1.134,0.115,0.830,96.438,100.000
35,15,3515,Sidoarjo,8.350,0.022,0.048,2.318,3.071,1.292,0.122,1.343,98.584,99.717
35,16,3516,Mojokerto,14.610,0.091,0.016,0.792,3.030,1.418,0.563,1.355,86.513,99.671
35,17,3517,Jombang,16.460,0.111,0.007,1.690,3.866,0.840,0.330,1.559,86.601,100.000
35,18,3518,Nganjuk,19.770,0.105,0.035,1.809,3.496,0.746,0.077,1.092,86.620,98.239
35,19,3519,Madiun,18.500,0.120,0.015,19.655,3.078,1.010,0.136,1.131,83.010,100.000
35,20,3520,Magetan,15.670,0.082,0.000,1.775,2.813,0.898,0.230,1.409,94.043,100.000
35,21,3521,Ngawi,20.860,0.129,0.000,14.516,3.866,0.760,0.369,1.171,43.318,99.539
35,22,3522,Bojonegoro,23.870,0.114,0.107,7.826,2.993,0.995,0.093,0.614,38.140,99.070
35,23,3523,Tuban,25.840,0.079,0.003,6.133,3.088,1.335,0.466,0.750,100.000,100.000
35,24,3524,Lamongan,22.510,0.079,0.000,2.210,3.386,1.074,0.139,0.753,64.768,96.835
35,25,3525,Gresik,21.430,0.035,0.062,4.871,3.315,0.854,0.208,0.854,80.056,99.438
35,71,3571,Kota Kediri,11.710,0.009,0.348,0.477,4.891,0.065,0.109,1.391,100.000,100.000
35,72,3572,Kota Blitar,9.340,0.019,0.143,5.595,4.810,0.000,0.429,0.905,100.000,100.000
35,73,3573,Kota Malang,7.220,0.004,0.684,3.259,8.526,0.000,0.702,2.333,100.000,100.000
35,74,3574,Kota Probolinggo,23.290,0.048,0.000,0.045,6.379,0.690,0.483,2.517,100.000,100.000
35,75,3575,Kota Pasuruan,11.200,0.012,0.000,0.111,3.706,0.000,0.294,1.412,100.000,100.000
35,76,3576,Kota Mojokerto,8.880,0.015,0.056,0.137,5.389,1.000,0.111,2.278,100.000,100.000
35,77,3577,Kota Madiun,6.690,0.015,0.630,5.576,4.519,1.000,0.556,1.667,100.000,100.000
35,78,3578,Kota Surabaya,8.230,0.002,0.865,6.838,8.773,0.092,0.503,1.350,98.773,98.160
35,79,3579,Kota Batu,6.180,0.091,0.083,0.055,5.208,0.708,1.000,1.250,100.000,100.000
36,01,3601,Pandeglang,12.550,0.106,0.066,28.461,4.203,0.069,0.107,0.755,46.269,88.060
36,02,3602,Lebak,12.050,0.071,0.013,26.552,3.975,0.122,0.525,0.559,35.625,85.938
36,03,3603,Tangerang,7.410,0.030,1.372,5.381,6.683,0.159,0.622,1.168,85.671,99.085
36,04,3604,Serang,6.480,0.057,0.000,11.982,4.006,0.250,0.127,1.078,49.026,98.377
36,71,3671,Kota Tangerang,6.830,0.003,0.933,1.167,7.827,0.000,0.452,1.846,99.038,100.000
36,72,3672,Kota Cilegon,3.950,0.014,0.326,1.491,6.395,0.279,0.186,1.535,95.349,100.000
36,73,3673,Kota Serang,8.210,0.025,0.136,4.717,5.848,0.303,0.136,1.167,72.727,100.000
