City,Country,Latitude,Longitude,PopGrowth_2000
Pingdu,China,36.7833,119.9556,1296000
Pingxiang,China,27.6333,113.85,1388000
Porto Alegre,Brazil,-30.0331,-51.23,1322000
Prague,Czech Republic,50.08804,14.42076,1193000
Probolinggo,Indonesia,-7.75,113.2167,1174000
Puebla,Mexico,19.033333,-98.183333,1007000
Pune,India,18.52043,73.856744,1567000
Pyongyang,Dem. People's Republic of Korea,39.03385,125.7543,2741000
Qidong,China,31.87,121.703,1136000
Qingdao,China,36.067082,120.38264,2102000
Qinzhou,China,21.95,108.6167,1006000
Qiqihar,China,47.35,123.9167,1425000
Queimados,Brazil,-22.7158,-43.555,1388000
Quezon City,Philippines,14.6333,121.0333,1989000
Quito,Ecuador,-0.22985,-78.52495,1615000
Rabat,Morocco,34.01325,-6.83255,1220000
Rawalpindi,Pakistan,33.6007,73.0679,1409000
Recife,Brazil,-8.05389,-34.8811,1400000
Rio de Janeiro,Brazil,-22.90278,-43.2075,5613000
Riyadh,Saudi Arabia,24.6333,46.7167,1800000
Rizhao,China,35.4158,119.5271,1028000
Rome,Italy,41.89474,12.4839,2648000
Rostov-on-Don,Russian Federation,47.2333,39.41394,1003000
Ruian,China,27.7833,120.625,1046000
Saint Petersburg,Russian Federation,59.89444,30.26417,4678000
Salvador,Brazil,-12.97111,-38.51083,2332000
Samara,Russian Federation,53.2028,50.1408,1165000
San Antonio,United States of America,29.42412,-98.4936,1145000
San Diego,United States of America,32.71533,-117.157,1223000
Santiago,Chile,-33.45,-70.666667,4788000
Santo Domingo,Dominican Republic,18.4667,-69.95,2677000
Sao Paolo,Brazil,-23.5475,-46.63611,10009000
Sapporo,Japan,43.06417,141.34694,1822000
Semarang,Indonesia,-6.9932,110.4203,2221000
Sendai,Japan,38.266667,140.866667,1009000
Seoul,Republic of Korea,37.56826,126.97783,10231000
Setif,Algeria,36.1833,5.4,1311000
Shanghai,China,31.22222,121.45806,8214000
Shenyang,China,41.79222,123.43278,4670000
Shijiazhuang,China,38.042308,114.514861,1390000
Shiraz,Iran,29.61031,52.53114,1053000
Singapore,Singapore,1.28967,103.85007,3894000
Suining,China,30.532847,105.5928979,1260000
Suizhou,China,31.6833,113.3833,1440000
Sukabumi,Indonesia,-6.9196,106.9272,2138000
Suqian,China,33.9333,118.2833,1077000
Surabaya,Indonesia,-7.24917,112.75083,2801000
Surat,India,21.19594,72.83023,1506000
Sydney,Australia,-33.86785,151.20732,4032000
Tabriz,Iran,38.08,46.2919,1191000
Taian,China,36.2,117.0833,1413000
Taipei,Taiwan,25.04776,121.53185,2640000
Taiyuan,China,37.87059,112.548879,2052000
Tangshan,China,39.63333,118.18333,1518000
Tashkent,Uzbekistan,41.26465,69.21627,2142000
Tbilisi,Georgia,41.709975,44.792989,1268000
Tegal,Indonesia,-6.8667,109.1333,1633000
Tehran,Iran,35.69439,51.42151,6758000
Tianjin,China,39.14222,117.17667,5855000
Tianmen,China,30.663337,113.166078,1507000
Tianshui,China,34.57952,105.74238,1040000
Tokyo,Japan,35.6895,139.69171,8130000
Tripoli,Libya,32.876175,13.187508,1500000
Ufa,Russian Federation,54.78517,56.04562,1087000
Urumqi,China,43.825,87.6,1131000
Vadodara,India,22.30731,73.181098,1062000
Valencia,Spain,39.469908,-0.376289,1363000
Vienna,Austria,48.20849,16.37208,1560000
Visakhapatnam,India,17.6883,83.2186,1504000
Wafangdian,China,39.631,121.974,1001000
Warsaw,Poland,52.22977,21.01178,1615000
Weifang,China,36.7167,119.1,1151000
Wuhan,China,30.58333,114.26667,4040000
Wuxi,China,31.49117,120.31191,1013000
Xian,China,34.341485,108.940404,2873000
